product,rating,rating count,price,product url
"KAMRUI GK3 Plus Mini PC 16GB RAM 512GB M.2 SSD, Intel 12th Alder Lake N95 (up to 3.4GHz) Mini PC Windows 11 Pro, 2.5''SSD, Gigabit Ethernet, 4K UHD, WiFi, BT, VESA/Home/Business Mini Desktop Computer  ",4.6,498  ,259.95,https://amazon.com/KAMRUI-GK3-2-5-inch-Ethernet-Business/dp/B0BC7S9R5C/ref=sr_1_49?keywords=pc&qid=1687391143&sr=8-49
"KAMRUI Mini PC with AMD Ryzen 5 5500U 6C/12T Processor Up to 4.0Ghz, 16GB DDR4 512GB SSD Windows 11 Pro Small Form Factor Desktop Computer Support 4K UHD, WiFi/BT, Home Server, Office, Business  ",4.4,169  ,279.99,https://amazon.com/KAMRUI-Processor-Windows-Computer-Business/dp/B0C1M822S2/ref=sr_1_50?keywords=pc&qid=1687391143&sr=8-50
Lenovo IdeaCentre Gaming 5i - 2022 - Gaming Desktop - NVIDIA GeForce RTX 3050 - Intel i5 12400-8GB RAM - 512GB SSD - Win 11 - Black - Mouse & Keyboard - Free 3-Month Xbox GamePass  ,4.2,29  ,749.99,https://amazon.com/Lenovo-IdeaCentre-Gaming-5i-12400-8GB/dp/B0BDR8YKF1/ref=sr_1_51?keywords=pc&qid=1687391143&sr=8-51
"STGAubron Gaming Desktop PC Computer,Intel Core I7 3.4GHz up to 3.9GHz, GeForce GTX 1660 Ti 6G GDDR6, 16G RAM, 512G SSD, WiFi, BT 5.0, RGB Fanx6, RGB Keyboard&Mouse&Mouse Pad, RGB BT Sound Bar, W10H64  ",3.4,48  ,519.99,https://amazon.com/STGAubron-Desktop-Computer-GeForce-Keyboard/dp/B0BK55THS6/ref=sr_1_52?keywords=pc&qid=1687391143&sr=8-52
"HIGOLEPC Mini PC Windows 11 PRO, Intel Celeron J4125 Mini Computer, 8GB DDR4 128GB EMMC Mini Desktop Computer With IPS screen,Small PC Support 4K HDMI Double Display, WiFi 6.0, BT5.2, Gigabit Ethernet  ",3.7,119  ,299.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0MjkwOTMxOTQ5MDIyNTI5OjE2ODczOTExNDM6c3BfYnRmOjIwMDE2NTg1NDAwNTg5ODo6MDo6&url=%2FHIGOLEPC-PC-PRO-Computer-Ethernet%2Fdp%2FB0BCVXLD5W%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dpc%26qid%3D1687391143%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"MXZ Gaming PC Computer I5 10400F, RTX2060S, 8GB*2 DDR4, NVME M2 500G, 6RGB Fans,Windows 10 Pro Ready to use, Gamer Desktop Computer(I5 10400F| RTX2060S)  ",4.1,8  ,759.0,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0MjkwOTMxOTQ5MDIyNTI5OjE2ODczOTExNDM6c3BfYnRmOjIwMDEyMjM1NTY1OTk5ODo6MDo6&url=%2FMXZ-Computer-RTX2060S-Windows-Desktop%2Fdp%2FB0BN7T3HY8%2Fref%3Dsr_1_54_sspa%3Fkeywords%3Dpc%26qid%3D1687391143%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"YABER V10 5G WiFi Bluetooth Projector, 15000L Full HD Native 1080P Projector 4K Support, 2023 Upgraded 4D/4P Keystone&Zoom, Home Theater&Outdoor Video Projector for Smartphone/TV Stick/PC/PPT/PS5  ",4.4,965  ,279.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MDkxNjY3MTc4NzU2MTgwOjE2ODczOTExNDU6c3BfYXRmX25leHQ6MjAwMTcxMDUyODgxNjk4OjowOjo&url=%2FYABER-V10-Bluetooth-Projector-Carrying%2Fdp%2FB096RRP5V7%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dpc%26qid%3D1687391145%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"wowe Mini PC with AMD Excavator A9-9400 up to 3.2GHz, 8G DDR4, 128G SSD, Windows 10, adeon R5 Series Supports 4K@30Hz HD Dual Display,2* HDMI 2.0,Dual Band WiFi, Gigabit Ethernet, USB 3.1  ",3.8,48  ,98.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MDkxNjY3MTc4NzU2MTgwOjE2ODczOTExNDU6c3BfYXRmX25leHQ6MjAwMDkzODg5Mzk0NTk4OjowOjo&url=%2Fwowe-Excavator-A9-9400-Supports-Ethernet%2Fdp%2FB0B6VQMKCM%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dpc%26qid%3D1687391145%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"ViprTech Whiteout Gaming PC Desktop Computer - AMD Ryzen 5 5600G (12-Core 4.4Ghz), AMD Radeon RX Vega 7 Graphics, 16GB DDR4 RAM, 128GB NVMe SSD, 1TB HDD, WiFi, RGB, 1 Year Warranty, Black  ",3.5,97  ,559.99,https://amazon.com/ViprTech-Whiteout-Gaming-Desktop-Computer/dp/B09YMTKMN8/ref=sr_1_51?keywords=pc&qid=1687391145&sr=8-51
"AOOSTAR Mini PC, Mini Computer AMD Ryzen 5 5500U (6C/12T, up to 4.0 GHz), 16GB DDR4 512G NVME SSD Mini Desktop Computer Windows 11, 3-in-1 Mini PC Soft Router NAS 2 Bays with WiFi 6 Dual 2.5G LAN  ",4.6,3  ,399.0,https://amazon.com/AOOSTAR-Computer-AMD-Ryzen-5500U/dp/B0C1RJQVRX/ref=sr_1_52?keywords=pc&qid=1687391145&sr=8-52
